A,B,C,D,E,F
5,48.52,27,368.42,6.18581,17.9648
34,309,39,548.52,12.8644,42.0774
0,2.98,10,113.05,-0.309018,-0.951056
34,309.23,29,398.08,65.2979,67.6179
16,147.51,27,368.19,47.2807,36.9397
15,138.34,31,428.31,93.6423,8.19263
30,273.25,5,38.06,-29.4895,-20.6487
10,93.53,11,127.97,23.7664,3.34015
0,3.35,29,398.46,-11.5702,-13.7888
10,93.27,30,413.34,30.6018,9.35589
13,120.16,19,248.21,-93.0852,-13.0823
34,309.33,33,458.28,-18.4116,-37.7493
21,192.25,26,353.42,-32.6784,-50.3202
8,75.17,21,278.54,-36.648,-13.3388
12,111.09,25,338.51,33.9906,22.9269
16,147.11,1,-21.76,46.3592,18.7303
32,291.01,35,488.23,-15.0489,-41.3465
35,318.06,25,338.1,-5.88976,-1.14485
36,327.51,18,233.26,-7.37237,-5.16218
24,219.13,32,442.98,-84.5723,-30.7818
22,201.56,32,443.4,46.3209,34.9052
30,273.28,39,548.43,67.4922,14.3459
31,282.41,36,503.34,-6.69131,-7.43144
35,318.23,17,218.3,-12.4037,-43.2568
5,48.56,37,518.46,47.5044,21.1503
35,318.31,10,113.44,70.4953,68.0765
9,84.37,32,443.37,14.539,21.555
7,66.47,37,518.41,-15.606,-14.0517
7,66.11,5,38.13,53.4722,24.9345
37,336.42,11,128.31,5.24451,12.9806
34,309.38,18,233.01,-50.3202,-32.6783
5,47.99,28,383.06,-43.1024,-38.8095
30,273.47,17,217.97,-73.7164,-44.2932
19,174.3,2,-6.78,44.0409,21.4802
5,48.04,38,533.46,-6.06218,-3.5
12,111.24,6,53.19,37.6183,51.7771
22,201.38,1,-21.72,34.0893,84.3737
38,345.3,5,38.44,-68.5159,-30.5052
23,210.22,24,323.34,-76.5669,-14.8831
18,165.16,25,338.26,-21.0508,-68.8539
34,309.5,38,533.29,-29.5227,-33.9619
31,282.15,35,488.49,27.6935,54.3514
28,255.48,32,443.1,17.4653,4.35459
5,48.1,14,173.46,14.6186,47.8152
27,245.97,8,83.09,-10.1256,-4.29804
11,102.32,21,277.98,46.5742,11.6122
35,318.16,19,248.27,-27.5317,-39.3193
9,84.17,11,128.3,4.04509,2.93892
2,21.07,6,53.06,23.4033,21.8239
37,336.16,28,383.34,-50.4748,-72.0853
26,237.52,25,338.24,18.7357,20.808
36,327.4,25,338.32,-16.4315,-30.9032
35,318.51,29,398.55,28.3111,73.7528
31,281.99,37,518.14,2.48711,1.67758
17,156.17,8,83.55,77.4186,9.5058
28,255.01,19,248.02,-5.25331,-16.168
11,102.17,30,413.13,-53.4923,-66.0574
33,300.4,2,-6.89,74.2731,55.9688
20,183.54,36,503.14,-7.82871,-11.6065
18,165.41,23,308.24,0.749215,1.85437
31,282.27,29,398.28,-62.2292,-69.1124
38,345.55,33,458.38,-49.3276,-70.447
29,264.16,35,488.28,31.7216,9.09603
5,48.03,38,533.3,-23.3395,-8.95919
4,39.51,20,263.37,-32.1337,-49.4815
13,120.49,4,23.4,-19.9659,-15.0454
36,327.31,22,293.38,-12.0534,-4.86988
13,120.13,36,502.98,-77.4607,-23.6821
22,201.42,28,383.49,-84.5723,-30.7818
8,75.12,29,398.18,14.4889,3.88228
23,209.97,15,188.17,-96.6309,-8.4541
24,219.08,36,503.23,-4.00001,-6.9282
3,30.15,31,428.09,-45.2947,-67.152
34,309.1,28,383.11,41.6872,38.8739
29,264.34,5,38.28,-81.3888,-9.99328
1,12.31,33,458.05,25.6601,22.306
11,102.15,28,383.16,49.8964,25.4235
35,318.17,10,113.15,51.4458,76.2714
21,192.35,14,173.26,29.4418,32.6983
0,3.02,1,-21.58,-58.3513,-60.4245
30,273.27,5,38.4,29.8357,3.13585
11,102.5,9,98.08,-22.7861,-41.1071
16,147.17,38,533.35,26.7302,13.6197
0,3.29,32,443.03,-40.3216,-53.5085
2,21.42,13,158,-73.6355,-22.5126
14,129.3,32,443.49,45.9026,14.0338
23,210.48,16,203.02,1.67758,2.48711
23,210.08,13,157.98,15.3677,24.5934
35,317.98,7,68.24,-7.49215,-18.5437
35,318.39,18,233.37,-20.6723,-10.0825
22,201.48,6,53.31,-44.446,-7.03955
9,84.56,26,353.34,-75.5837,-7.94416
30,273.24,24,323,-37.5877,-13.6808
18,165.12,27,368.55,-24.1068,-9.73976
11,101.98,21,278.38,0.731354,0.681998
15,138.01,21,278.18,18.4699,23.6403
8,75.28,36,503.23,-21.7856,-33.5468
19,173.99,19,248.2,26.4379,59.3804
28,255.13,6,53.44,7.62496,11.7414
26,237.34,13,158.44,-6.29321,-7.77145
25,228.22,22,293.16,16.4545,9.49999
36,327.56,36,503.41,-2.74064,-1.22021
36,327.33,11,128.24,88.2969,22.0149
38,345.48,17,218.13,26.5971,65.83
28,255.54,0,-36.9,-10.6066,-10.6066
19,174.19,28,383.19,58.2666,56.2673
27,246.06,18,233.32,-62.9594,-22.9153
16,147.46,23,307.97,3.87848,6.99695
21,192.23,17,218.35,-72.1257,-46.8389
1,12.19,18,233.18,-11.2867,-31.0098
3,30.36,37,518,-40.267,-90.441
2,21.37,20,263.17,43.8783,16.8433
7,66.13,27,368.27,-1.30228,-3.78207
36,327.54,2,-6.77,5.03538,4.86261
26,237.05,11,128.01,36.8506,17.9732
19,174.21,30,413.06,-88.2948,-46.9471
12,110.99,35,488.41,22.9621,26.4148
30,273.19,10,113.47,7.30932,23.9076
26,237.1,7,68.17,64.9499,74.7162
29,264.15,22,293.3,1.7659,0.938942
24,219.11,20,263.23,-10.5655,-22.6577
29,264.56,14,173.13,39.2825,17.4897
30,273.03,12,143.5,-25.8626,-35.5967
11,102.19,2,-6.52,15.0515,39.2104
5,48.29,4,23.37,-58.8156,-22.5772
23,210.38,12,143.32,-66.6888,-29.6918
7,66.05,38,533.19,3.56403,1.81596
11,102.43,20,263.52,-19.6052,-7.52572
16,147,30,413.16,-40.2325,-22.3012
5,48.36,8,83.06,-13.4986,-16.0869
27,246.12,18,233.49,52.579,32.855
31,282.07,5,37.99,3.97809,0.418113
36,327.52,28,383.33,61.1286,15.2411
4,39.36,22,293.11,7.5471,6.56059
30,273.52,8,83.36,-14.1069,-19.4164
4,39.21,6,53,63.0069,42.4986
20,183.36,11,128.55,-36.648,-13.3388
31,282.54,22,293.16,-62.9594,-22.9153
31,282.06,5,38.3,63.5817,53.3513
2,21.23,23,308.07,-68.3373,-65.9925
1,11.98,3,8.45,52.7941,54.6698
9,84.46,11,127.97,-34.7712,-39.9996
15,138.55,2,-6.46,-76.3243,-47.6927
15,137.98,17,218.37,-89.8927,-27.4829
7,66.25,38,533.27,20.0739,22.2943
10,93.49,5,38.22,56.7368,44.3276
17,156.18,2,-6.55,15.1061,14.5878
12,111.45,0,-36.57,13.5768,10.2308
34,309.29,35,488.4,-73.0559,-20.9484
35,318.09,10,113.51,57.9828,57.9827
29,264.21,24,323.23,-52.8297,-45.9241
0,3.04,9,98.39,4.77399,5.11947
4,39.28,10,113.53,63.6397,63.6396
30,273.21,4,23.02,-23.7382,-22.9237
26,237.31,13,158.25,9.38945,17.6589
1,12.19,12,143.02,-11.4757,-3.50846
14,129.17,1,-21.6,-20.4788,-14.3394
26,237.08,11,128.45,29.594,73.2475
28,255.26,17,218.1,45.5722,82.2142
14,129.29,3,8.04,-56.1123,-18.232
14,129.19,17,218.35,29.5781,36.5258
20,183.3,18,233.1,72.3563,26.3355
25,228.4,36,503.34,-36.1915,-7.69273
22,201.09,16,202.97,-21.995,-6.72454
28,255.48,15,188,15.429,9.27068
27,246.01,18,233.41,-65.2997,-40.8038
22,201.32,31,428.1,20.2844,5.4352
38,345.43,35,488.44,21.0635,27.9522
34,309.15,30,413.4,48.0842,32.4332
5,48.55,30,413.37,21.9163,1.91742
36,327.38,17,218.23,-2.12132,-2.12132
36,327.29,35,488.44,42.0111,16.1265
27,246.32,23,308.39,-69.2965,-69.2964
0,3.46,28,383,11.6924,2.69941
34,309.54,37,518.42,-23.4861,-34.8196
37,336.23,12,143.51,62.482,17.9164
6,56.98,13,157.99,-58.979,-41.2975
30,273.04,6,53.42,33.5852,23.5166
36,327.5,29,398.01,3.2539,7.30836
35,318.4,11,128.49,-71.934,-69.4658
23,210.34,27,368.04,18.6515,15.1037
8,75.27,25,338.51,-35.9961,-42.8985
4,39.44,4,23.07,46.0001,79.6743
11,102.37,39,548.09,15.5303,6.91452
14,129.29,2,-6.98,-45.7497,-70.4483
6,57.48,32,443.02,-79.8984,-18.446
10,93.35,38,533.52,45.9133,24.4125
33,300.06,30,413.54,6.80901,17.738
23,209.99,27,368.11,5.37553,14.0037
33,300.18,8,83.25,-71.7188,-39.7544
22,201.33,15,188.23,-85.7365,-49.5
34,309,3,8.1,-57.8683,-37.5801
28,255.41,17,218.47,11.9873,39.2085
16,147.13,3,8.4,37.3126,49.5154
19,174.45,31,428.44,-25.8626,-35.5967
11,102.47,17,218.43,7.18452,15.4072
3,30.48,14,173.44,-53.9942,-64.3477
27,246.53,29,398.13,53.3747,82.1897
4,39.32,39,548.24,-33.4566,-37.1572
37,336.07,21,277.97,70.343,31.3187
