A,B,C,D
1,31,40.14,133.33
2,18,46.12,81.2
3,27,51.98,117.18
4,37,58.28,157.26
5,19,64.15,85.31
6,5,70.21,29.23
7,26,76.08,113.1
8,37,82.37,157.17
9,22,88.05,97.02
10,9,94.21,45.18
11,8,100.04,41.26
12,35,106.14,149.01
13,17,112.34,77.33
14,29,118.23,125.23
15,17,124.02,77.32
16,11,130,53.07
17,28,136.26,121.18
18,0,142.15,9.17
19,20,148.29,89.16
20,16,153.99,73.31
21,36,159.99,153.37
22,17,166.35,77.14
23,20,172.12,89.1
24,15,178.02,69.35
25,32,184.11,137.31
26,19,190.14,85.33
27,28,196.03,121.13
28,8,202.35,41.22
29,27,208.15,117.14
30,5,214.24,29.15
31,30,220.12,129.16
32,30,226.29,129.13
33,38,232.01,161.2
34,10,238.08,49.16
35,39,244.01,165.29
36,32,250.2,137.06
37,20,256.08,89.03
38,35,262.09,149
39,20,268.36,89.1
40,28,274.34,121.36
41,5,280.24,29.02
42,15,286.06,69.34
43,23,292.04,101.29
44,37,298.06,157
45,15,304.05,69.03
46,6,309.98,33.17
47,6,316.18,33.19
48,11,322.05,53.3
49,14,328.17,65.21
50,26,334.05,113.09
51,16,340.02,73.27
52,20,346.1,89.36
53,8,352.25,41.34
54,0,358.22,9.03
55,2,364.37,17.1
56,39,370.35,165.02
57,18,376.02,81.14
58,39,382.05,165.22
59,24,388.19,105.33
60,39,394.37,165.01
61,10,400.13,49.37
62,39,406.34,165.09
63,29,412.02,125.36
64,18,418.34,81.12
65,23,424.36,101.03
66,27,430.35,117.01
67,32,436.13,137.37
68,0,442.05,9.04
69,24,448.21,105.18
70,20,454.2,89.17
71,15,460.3,69.25
72,14,466.21,65.21
73,18,472.03,81.17
74,16,478.21,73.14
75,23,484.36,101.04
76,28,490.15,121.02
77,23,496.07,101.09
78,14,502,65.08
79,13,508.24,61.31
80,33,514.36,141.13
81,4,520.03,25.37
82,31,526.18,133.13
83,6,532.28,33.18
84,18,538.04,81.33
85,26,544.19,113.31
86,32,550.08,137.08
87,28,556.23,121.1
88,0,561.98,9.04
89,10,568.11,49.3
90,36,574.36,153.21
91,3,580,21.26
92,3,586.24,20.98
93,18,592.22,81.28
94,30,598,129.27
95,17,604.26,77.08
96,2,610.11,17.1
97,4,615.99,25.36
98,8,622.31,41.36
99,14,628.34,65.01
100,7,634.3,36.99
