A,B,C,D,E,F
39,307.12,28,161.05,60.6218,35
32,251.07,0,-34.81,25.8062,3.1686
3,19.49,6,7.43,73.5714,66.2439
25,195.17,23,126.45,-15.8976,-25.4414
34,267.26,16,77.37,-75.3174,-16.0092
20,155.31,32,189.46,-19.0564,-31.7152
26,203.12,37,224.44,85.5951,27.8115
11,84.22,35,210.15,23.396,20.3378
7,51.06,26,147.19,-10.0926,-29.3111
26,203.4,38,231.39,-12.9443,-9.40456
39,307.13,27,154.08,-24.6638,-35.2235
17,131.01,18,91.31,42.7722,27.7766
9,67.19,33,196.33,-47.1181,-9.15882
23,179.17,17,84.46,52.82,11.2272
26,203.17,30,175.21,51.6043,63.7259
37,291.18,3,-13.59,-78.6386,-55.0633
27,211.31,16,77.02,72.9553,49.2089
5,35.15,34,203.47,46.287,27.812
18,139.54,18,91.13,-0.882948,-0.469471
35,275.54,33,196.02,30.3767,12.8941
4,27.27,21,112.16,-24.866,-23.1879
11,83.42,32,189.45,-31.5891,-48.6429
27,211.24,10,34.98,23.0041,43.2644
20,155.05,6,7.35,51.9223,20.978
3,19.2,14,63.46,23.7454,14.8377
37,291.21,29,168.35,-27.6342,-49.8533
28,219.12,13,56.37,-40.9059,-50.5145
33,259.31,15,70.32,44.0001,76.2102
24,187.05,5,-6.70552e-10,-54.7428,-29.1072
0,-4.69,16,77.32,0.976707,2.83655
34,267.49,21,112.41,1.86716,0.716735
32,251.08,31,182.02,6.61997,8.78499
13,99.13,33,196.46,89.8009,65.2441
26,202.97,29,168.08,6.33968,22.109
16,123.21,13,56.09,53.5844,46.5802
8,59.34,8,21.38,80.5563,8.4668
38,299.5,34,202.98,-7.79423,-4.5
32,251.01,34,203.42,13.9464,29.9081
38,299.08,10,35.56,12.1845,31.7417
38,299.07,10,35.09,-36.2485,-28.3204
0,-4.48,10,35.18,-20.9909,-11.6354
24,187.43,37,224.15,-25.3571,-54.3784
35,275.09,25,139.98,-2.98858,-0.261467
11,83.12,22,119.19,49.7073,21.0995
