A,B,C,D,E,F
20,155.22,3,-13.56,-42.424,-50.5589
33,259.27,18,91.21,27.3881,5.82152
12,91.43,5,0.15,-6.78439,-4.23935
28,219.28,25,140.02,44.612,51.3202
14,107.22,1,-27.63,-87.4118,-46.4776
7,51.38,28,161.47,-27.3617,-75.1754
28,219.23,5,0.23,-53.6231,-44.9951
5,35.12,4,-6.72,-16.9917,-20.9829
10,74.98,0,-34.48,-75.4814,-32.0399
32,251.09,25,140.3,42.0111,16.1265
36,283.49,0,-34.66,5.91667,12.6883
24,187.19,26,147.46,-32.3325,-21.8085
26,203.43,4,-6.93,-21.0115,-9.35494
39,307.16,11,42.56,76.8566,55.8396
39,307.36,6,7.01,-7.95618,-0.836227
3,18.98,15,70.12,-48.1984,-66.3394
7,50.99,24,133.03,-72.3563,-26.3355
27,211.46,23,126,-18.7357,-20.808
12,91.08,12,49.2,40.7524,10.1607
37,291.18,18,91.2,44.9166,35.0927
34,267.29,24,133.38,-26.8984,-30.9431
2,11.04,28,161.55,-22.3706,-50.245
23,179.29,12,49.36,-74.3427,-41.2088
12,91.44,35,210.33,-5.25331,-16.168
16,123.09,30,175.43,31.5467,45.0533
9,67.38,12,49.5,1.55429,1.25864
27,211.01,3,-13.48,-89.289,-37.9009
18,139.55,32,189.48,71.3932,28.8447
27,210.98,26,147.12,88.0818,42.9603
24,187.31,13,56.04,-67.7412,-5.92659
27,210.99,21,112.08,63.5675,70.5987
15,115.12,20,105.55,-35,-60.6218
26,202.98,25,140.15,3.06418,2.57115
17,131.08,16,77.33,12.3716,35.9297
9,67.2,12,49.32,-38.3022,-32.1394
15,115.54,7,14.26,-25.8026,-67.2178
24,187.33,9,28.41,73.4484,9.01832
11,82.98,33,196.34,-54.7939,-70.1329
24,187.38,20,105.17,-65.46,-63.2139
7,51.35,2,-20.72,-49.2045,-56.6032
16,123.18,33,196.4,9.51057,3.09017
18,139.43,9,28.36,-58.3893,-67.1691
11,83.31,17,84.53,13.1923,18.8405
5,35.24,1,-27.57,5.65686,5.65685
17,131.24,21,112.28,13.5848,11.8091
15,115.24,39,238.25,23.4861,34.8196
21,163.29,28,161.48,-3.2539,-7.30836
7,51.52,5,0.41,31.0495,7.74149
4,27.26,36,217.15,-21.4292,-12.8759
0,-4.91,35,210.18,1.45443,2.62386
20,155.07,33,196.08,19.8372,54.5022
33,259.49,8,21.3,-51.9113,-39.1179
4,27.19,27,153.98,26.397,27.3349
2,11.39,1,-27.64,-25.7288,-84.1548
7,51.5,1,-27.88,-8.4648,-24.5835
21,163.43,7,14.23,-12.9788,-39.9444
13,99.2,1,-27.7,35.3386,6.86912
25,195.49,30,175.22,-80.0839,-33.9936
36,283.53,23,126.06,-8.35625,-9.95857
18,139.03,8,21.48,46.7287,39.21
27,211.51,1,-27.97,-35.9518,-17.5348
16,123.23,14,63.14,-20.0824,-6.1398
6,43.54,34,203.33,38.0649,17.75
5,35.47,8,21.45,-45.9627,-38.5672
23,179.55,13,56.01,31.4078,26.3543
19,146.97,29,168.09,78.4111,9.62767
16,123.12,28,160.99,-79.5876,-53.6825
5,35.07,36,217.48,12.2578,24.0572
31,243.09,29,168.56,9.70821,7.05342
6,43.52,31,182.37,-28.7838,-3.53421
27,210.99,12,49.53,37.466,55.5455
10,75,18,91.47,51.2207,40.018
10,74.99,33,196.55,-10.9881,-23.564
17,131.14,4,-6.65,28.4672,5.53346
19,147.52,4,-6.53,72.7743,61.0648
22,171.11,38,231.03,25.5,44.1673
10,75.1,20,105.25,31.1769,18
11,83.23,20,105.02,-2.51728,-3.10858
37,291.1,23,126.19,82.3813,10.1151
38,298.99,0,-34.81,-45.0693,-84.7629
30,235.35,2,-20.55,-42.1325,-35.3533
25,195.44,18,91.22,-21.4292,-12.8759
22,171.16,12,48.99,7.01395,14.3807
0,-4.5,14,63.21,-18.2839,-17.0499
8,59.03,32,189.05,0,0
28,219.47,15,70.47,-20.46,-21.9406
15,115.24,19,98.02,-17.305,-53.2591
12,91.24,6,7.33,14.6931,38.2768
37,291.11,27,154.01,16.9145,6.15636
34,267.15,33,196.03,-48.0687,-37.5553
15,115.04,16,77,-41.8979,-9.67289
27,211.41,6,7.36,-98.2621,-12.0651
6,43.5,21,112.41,-74.1824,-24.1033
38,299.28,17,84.14,-72.0841,-45.0431
32,251.06,37,224.02,12.0754,10.4969
31,243.2,23,126.56,-23.188,-24.866
37,291.51,8,21.52,32.8744,2.87614
38,299.28,15,70.56,22.8973,14.3078
14,107.42,9,28,35.876,64.7218
30,235.04,26,147.37,65.2803,52.8629
16,123.04,9,28.09,-33.9833,-41.9659
24,187.21,2,-20.98,5.1642,9.71242
35,275.26,18,91.47,60.0733,10.5925
0,-4.88,22,119.18,16.2862,9.78572
17,130.98,35,210.32,16.7714,12.6381
1,3.27,11,42.28,-16.9576,-55.4657
7,51.55,14,63.18,62.0429,10.9398
8,59.35,27,154.15,-96.4626,-22.2701
35,275.3,3,-13.66,48.4136,80.5737
5,35.4,16,77.1,5.23713,18.264
5,35.29,19,98.45,22.109,6.33965
26,202.99,32,189.49,-43.6646,-36.6389
38,299.2,26,147.54,0.309018,0.951056
5,35.13,20,105.17,44.1732,8.5864
35,275,9,28.2,-31.1127,-31.1127
12,91.1,33,196.01,0.325569,0.945518
37,291.37,31,182.26,4.30043,11.203
17,131.39,38,231.2,95.1649,27.2881
22,171.33,28,161.51,37.5362,31.4966
32,251.41,28,161.1,-26.3711,-76.587
34,267.2,9,28.16,23.8396,12.6757
7,51.42,23,126.55,63.9105,57.5452
33,259.4,30,175.4,7.32127,16.4438
34,267.09,18,91.11,-57.4854,-23.2256
20,155.07,23,126.17,43.2633,72.002
37,291.47,17,84.03,68.178,57.2081
21,163.13,22,119.21,4.01504,5.73406
12,91.17,36,217.51,-50.5145,-40.9058
15,115.38,39,238.42,24.5488,50.3324
24,187.05,12,49.24,20.4779,19.0959
33,259.02,38,231.48,17.2642,16.6718
28,219.14,7,14.07,-40.173,-66.859
2,11.23,6,7.35,64.7132,31.5627
25,195.44,23,126.41,-48.6498,-72.1262
5,35.14,19,98.34,16.495,4.11267
5,35.27,17,84,-26.7372,-3.75767
14,107.18,30,175.19,54.4529,62.6409
8,59.23,22,119.12,41.6028,14.325
16,123.06,22,119.48,4.24024,2.64959
34,267.48,16,77.42,-10.3923,-6
25,195.51,36,217.39,-63.214,-65.4599
15,115.13,3,-13.58,28.119,50.7279
2,11.43,12,49.21,-27.6259,-38.0238
19,147.07,30,175.3,45.9404,56.7316
20,155.05,39,238.25,-8.81679,-12.1352
34,267.27,13,55.99,78.9342,28.7297
