A,B,C,D
1,34,-22.71,146.98
2,14,-18.77,47.22
3,9,-14.92,22.25
4,27,-10.71,112.18
5,21,-6.98,82
6,26,-2.69,107.09
7,3,0.99,-7.65
8,4,4.98,-2.79
9,27,9.1,112.04
10,4,13.34,-2.95
11,17,17.28,62.36
12,9,21.34,22.13
13,33,25.04,142.23
14,20,29.23,77.06
15,32,33.04,137.1
16,27,37.22,112.35
17,38,41.25,167.28
18,35,45.22,152.2
19,11,49.09,32.24
20,9,53.05,22.2
21,16,57.22,57.1
22,6,61.31,7.07
23,21,65.16,82.05
24,38,69.28,167.3
25,38,73.13,167.36
26,10,77,27.2
27,39,81.3,172
28,29,86,122.17
29,18,89.09,67.28
30,29,93.35,122.37
31,36,97.18,157.05
32,12,101.22,37.03
33,37,105.23,162.24
34,7,109.3,12.14
35,37,113.14,162.12
36,4,117.04,-2.86
37,6,121.19,7.13
38,30,125.21,127.02
39,10,128.99,27.05
40,32,133.2,137.35
41,24,137.16,97.07
42,23,141.2,92.31
43,29,145.17,122.09
44,7,149.24,12.33
45,24,153.13,97.1
46,38,157.18,167.16
47,15,161.16,52.37
48,30,165.07,127.12
49,27,169.09,112.05
50,26,173.33,107.27
51,23,177.09,92.37
52,32,181.33,137.19
53,18,185.22,67.3
54,21,189.29,82.08
55,16,193.13,57.24
56,20,197.04,77.36
57,31,201.19,132.14
58,22,205.01,87.15
59,37,209.2,162.18
60,36,212.99,157.14
61,26,217.14,107.25
62,17,221.07,62.12
63,39,225.17,172.36
64,23,228.98,92.2
65,34,233.06,147.27
66,20,237.27,77.33
67,18,241.1,67.06
68,26,245.32,107.02
69,36,249.21,157.16
70,16,253.18,57.09
71,24,257.36,97.26
72,4,261.13,-2.73
73,18,265.04,67.06
74,9,269.28,21.98
75,31,273.14,131.98
76,20,277.26,77.19
77,8,281.36,17.31
78,8,285.22,17.26
79,4,289.18,-2.99
80,23,293.27,92.13
81,34,297.11,147.11
82,14,301.15,47.19
83,3,305.34,-7.75
84,3,309.03,-7.93
85,3,313.26,-7.77
86,4,316.98,-2.97
87,25,321.06,102.01
88,11,325.07,32.26
89,31,329.11,131.98
90,34,333.34,147.27
91,10,337.21,27.01
92,15,341.35,52.1
93,36,344.99,157.06
94,24,349.02,97.03
95,25,352.98,102.31
96,3,357.34,-7.68
97,8,361.11,17.32
98,12,365.22,37.01
99,32,369.13,137.15
100,32,373,137.03
