A,B,C,D
1,11,-23,32.07
2,28,-18.93,117.28
3,3,-15.01,-8
4,4,-10.9,-2.9
5,3,-7.01,-7.71
6,25,-3.01,102.35
7,19,1.29,72.07
8,26,5.19,107.09
9,3,9.12,-7.8
10,26,13.08,107.16
11,6,17.19,7.1
12,15,21,52.19
13,37,25.35,162.2
14,39,29,172.24
15,4,33.03,-2.75
16,35,37.21,152.18
17,24,41.32,97.09
18,34,45.19,147.23
19,5,49.22,2.29
20,19,53.01,71.99
21,37,57.07,162.13
22,9,61.14,22.07
23,30,65.04,127.36
24,5,69.03,1.98
25,23,73.07,92.36
26,11,77.34,32.11
27,23,81.19,92.37
28,27,85.05,112.18
29,4,89.02,-2.65
30,35,93.22,151.98
31,29,97.11,121.99
32,36,101.21,157.07
33,5,105.03,2.13
34,3,109,-7.89
35,36,113.24,157.2
36,26,117.27,107.09
37,31,121.02,132.3
38,30,125.29,127.29
39,3,129.25,-7.67
40,0,133.21,-22.91
41,32,137.02,137.23
42,25,140.98,101.98
43,26,145.03,107.03
44,34,148.98,146.98
45,7,153.26,12.16
46,21,157.12,82.05
47,32,161.35,137.01
48,16,165.26,57.25
49,7,169.29,12.12
50,3,173.21,-7.65
51,6,177.05,6.99
52,31,181.22,131.99
53,23,185.08,92.36
54,21,189.02,82.29
55,21,193.01,82.17
56,31,197.23,132.24
57,38,201.07,167.13
58,33,205.24,142.01
59,20,209.31,77.24
60,35,213.26,151.99
61,32,217.33,136.98
62,26,221.16,107.22
63,19,225,72.33
64,10,229.21,27.29
65,1,233.34,-17.67
66,12,237.25,37.1
67,30,241.15,127.19
68,6,245.08,7.05
69,1,249.29,-17.69
70,20,253.16,77.19
71,13,257.08,42.06
72,14,261.26,47.17
73,38,265.06,167.19
74,33,269.16,142.34
75,17,273.09,62.22
76,4,277.21,-2.91
77,16,281.04,57.18
78,37,285.1,162.2
79,37,289.03,162.03
80,30,293.15,127.21
81,3,297.29,-7.76
82,12,301.35,37.12
83,31,305.33,132.2
84,4,309.19,-2.7
85,32,313.36,137.01
86,16,317,57.17
87,19,321.08,72.23
88,39,325.05,172.27
89,21,329.34,82.24
90,19,333.24,72.02
91,2,337.28,-12.75
92,28,341,117.22
93,3,345.23,-7.91
94,17,349.27,62.3
95,2,353.19,-12.8
96,5,357.27,2.14
97,24,361.06,97.24
98,1,365.37,-17.76
99,30,369.1,127.2
100,17,373.29,62.07
